Name,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
EU SUPPLY PLC,Software &amp; Computer Services,Software,7.89,11.0,nan,nan,nan,2017
EURASIA MINING PLC,Mining,Platinum &amp; Precious Metals,11.74,0.51,0.25,9.0,nan,2017
EUROMONEY INSTITUTIONAL INVESTOR PLC,Media,Publishing,1259.97,1186.0,-280.77,nan,2.61,2017
EUROPA METALS LTD,Industrial Metals &amp; Mining,Iron &amp; Steel,2.01,0.03,0.04,nan,nan,2018
EUROPA OIL &amp; GAS (HOLDINGS) PLC,Oil &amp; Gas Producers,Exploration &amp; Production,13.12,2.95,-0.37,nan,nan,2018
EUROPEAN METALS HOLDINGS LIMITED,Industrial Metals &amp; Mining,Iron &amp; Steel,23.46,16.0,6.29,nan,nan,2017
EVE SLEEP PLC,Household Goods &amp; Home Construction,Durable Household Products,14.31,10.25,101.61,nan,-461.62,2017
EVERYMAN MEDIA GROUP PLC,Travel &amp; Leisure,Recreational Services,144.82,204.0,58.94,-22.06,nan,2017
EVGEN PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,17.32,17.5,5.6,nan,nan,2018
EVR HOLDINGS PLC,Mobile Telecommunications,Mobile Telecommunications,62.79,5.22,1.1,nan,nan,2017
EVRAZ PLC,Industrial Metals &amp; Mining,Iron &amp; Steel,6935.3,442.1,33.17,220.01,1.31,2017
EXPERIAN PLC,Support Services,Business Support Services,17336.03,1850.5,-290.81,128.31,2.06,2018
F&amp;C INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,3432.64,636.0,676.53,nan,nan,2017
F&amp;C COMMERCIAL PROPERTY TRUST LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,996.01,124.4,141.19,nan,4.42,2017
F&amp;C UK REAL ESTATE INVESTMENTS LIMITED,Real Estate Investment Trusts,Diversified REITs,221.93,94.8,108.48,nan,5.01,2018
FAIRFX GROUP PLC,Financial Services,Consumer Finance,185.67,119.0,11.2,nan,nan,2017
FALANX GROUP LIMITED,Support Services,Business Support Services,12.41,2.95,0.15,nan,nan,2018
FALCON OIL &amp; GAS LTD.,Oil &amp; Gas Producers,Exploration &amp; Production,125.73,13.25,3.21,nan,nan,2017
FAROE PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,548.15,153.2,40.3,nan,nan,2017
FARON PHARMACEUTICALS OY,Pharmaceuticals &amp; Biotechnology,Biotechnology,17.22,53.0,nan,-68.71,-84.48,2016
FASTFORWARD INNOVATIONS LIMITED,Equity Investment Instruments,Equity Investment Instruments,15.75,9.75,10.35,nan,nan,2018
FDM GROUP (HOLDINGS) PLC,Software &amp; Computer Services,Computer Services,804.28,746.0,41.77,nan,nan,2017
FEEDBACK PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,4.85,1.35,0.2,nan,nan,2017
FERGUSON PLC,Support Services,Industrial Suppliers,11632.02,4873.0,986.98,16.11,2.56,2017
FERREXPO PLC,Industrial Metals &amp; Mining,Iron &amp; Steel,1145.76,187.55,74.23,67.66,4.17,2017
FEVERTREE DRINKS PLC,Beverages,Soft Drinks,2553.3,2236.0,76.0,nan,0.48,2017
FFI HOLDINGS PLC,Financial Services,Specialty Finance,37.88,24.0,7.65,-31.24,nan,2018
FIDELITY EUROPEAN VALUES PLC,Equity Investment Instruments,Equity Investment Instruments,853.2,208.0,nan,nan,1.92,2017
FIDELITY SPECIAL VALUES PLC,Equity Investment Instruments,Equity Investment Instruments,611.89,227.0,254.63,nan,1.87,2017
FIDELITY ASIAN VALUES PLC,Equity Investment Instruments,Equity Investment Instruments,285.82,415.0,419.36,nan,1.34,2018
FIDELITY CHINA SPECIAL SITUATIONS PLC,Equity Investment Instruments,Equity Investment Instruments,1036.5,183.4,272.55,nan,1.46,2018
FIDELITY JAPAN TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,171.62,127.0,nan,nan,nan,2017
FIH GROUP PLC,Support Services,Business Support Services,37.35,300.0,240.47,-20.97,1.48,2018
FILTRONIC PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,12.28,5.65,3.99,nan,nan,2018
FINDEL PLC,General Retailers,Specialty Retailers,184.99,215.0,16.78,585.49,nan,2018
FINSBURY FOOD GROUP PLC,Food Producers,Food Products,133.64,103.0,17.5,16.84,2.59,2017
FINSBURY GROWTH &amp; INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1345.32,745.0,732.82,nan,1.93,2017
FIREANGEL SAFETY TECHNOLOGY GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,18.82,41.0,30.05,nan,nan,2017
FIRESTONE DIAMONDS PLC,Mining,Diamonds &amp; Gemstones,17.73,3.62,11.76,100.41,nan,2018
FIRST DERIVATIVES PLC,Software &amp; Computer Services,Computer Services,550.82,2150.0,-45.42,11.72,0.63,2018
FIRST PROPERTY GROUP PLC,Financial Services,Asset Managers,57.89,52.5,40.15,222.04,3.49,2018
FIRSTGROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,1010.66,85.65,-8.74,76.67,nan,2018
FISHER (JAMES) &amp; SONS PLC,Industrial Transportation,Transportation Services,871.58,1738.0,171.01,46.46,1.83,2017
FLETCHER KING PLC,Real Estate Investment &amp; Services,Real Estate Services,3.87,42.0,44.96,nan,2.8,2018
FLOWTECH FLUIDPOWER PLC,Industrial Engineering,Industrial Machinery,67.77,114.75,17.98,19.98,3.5,2017
FLYBE GROUP PLC,Travel &amp; Leisure,Airlines,36.83,16.1,37.52,72.4,nan,2018
FOCUSRITE PLC,Leisure Goods,Consumer Electronics,276.03,474.0,25.03,nan,33.62,2017
FOOTASYLUM PLC,General Retailers,Apparel Retailers,26.9,29.0,9300.0,-26.06,nan,2018
FORBIDDEN TECHNOLOGIES PLC,Software &amp; Computer Services,Software,24.82,8.15,0.9,nan,nan,2017
FORESIGHT SOLAR FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,592.86,110.5,102.88,nan,2.88,2017
FORTERRA PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,448.99,221.0,nan,58.07,24.79,2017
FOX MARBLE HOLDINGS PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,16.07,7.38,2.39,48.28,nan,2017
FOXTONS GROUP PLC,Real Estate Investment &amp; Services,Real Estate Services,146.36,53.3,7.55,nan,nan,2017
FRANCHISE BRANDS PLC,General Retailers,Specialized Consumer Services,51.17,66.0,nan,26.99,26.53,2017
FRENCH CONNECTION GROUP PLC,General Retailers,Apparel Retailers,42.12,43.1,46.86,nan,nan,2018
FRENKEL TOPPING GROUP PLC,Financial Services,Specialty Finance,21.92,28.5,6.79,nan,2.26,2017
FRESNILLO PLC,Mining,Gold Mining,6337.28,888.4,319.26,nan,1.72,2017
FRONTERA RESOURCES CORPORATION,Oil &amp; Gas Producers,Exploration &amp; Production,45.34,0.29,nan,-102.19,nan,2017
FRONTIER DEVELOPMENTS PLC,Leisure Goods,Toys,309.93,760.0,67.59,nan,nan,2018
FRONTIER IP GROUP PLC,Support Services,Business Support Services,32.63,80.0,28.09,nan,nan,2018
FRONTIER SMART TECHNOLOGIES GROUP LIMITED,Technology Hardware &amp; Equipment,Semiconductors,12.83,32.5,3.96,-18.16,nan,2017
FULCRUM UTILITY SERVICES LD,"Gas, Water &amp; Multiutilities",Multiutilities,102.12,46.4,4.04,nan,3.44,2018
THE FULHAM SHORE PLC,Travel &amp; Leisure,Restaurants &amp; Bars,60.28,9.9,1.92,nan,nan,2018
"FULLER, SMITH &amp; TURNER PLC",Travel &amp; Leisure,Restaurants &amp; Bars,285.16,894.0,224.34,59.59,2.04,2018
FUNDING CIRCLE SME INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,293.32,86.6,nan,nan,nan,2017
FUNDING CIRCLE HOLDINGS PLC,Software &amp; Computer Services,Software,1192.97,323.45,nan,nan,nan,nan
FUNDSMITH EMERGING EQUITIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,314.04,1190.0,1039.01,nan,nan,2017
FUSION ANTIBODIES PLC,Health Care Equipment &amp; Services,Health Care Providers,12.04,54.5,311.5,-67.13,nan,2018
FUTURA MEDICAL PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,12.58,6.8,7.54,nan,nan,2017
G4S PLC,Support Services,Business Support Services,3055.87,195.25,-74.83,184.82,3.72,2017
GABELLI VALUE PLUS+ TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,115.18,115.5,102.87,nan,30.84,2018
GALANTAS GOLD CORPORATION,Mining,Gold Mining,12.37,6.28,3.56,-8.82,nan,2017
GALILEO RESOURCES PLC,Mining,General Mining,2.18,0.72,1.62,nan,nan,2018
GALLIFORD TRY PLC,Household Goods &amp; Home Construction,Home Construction,691.73,626.5,541.84,-12.65,8.82,2018
GAMA AVIATION PLC,Industrial Transportation,Transportation Services,76.36,119.5,14.8,21.56,nan,2017
GAME DIGITAL PLC,General Retailers,Specialty Retailers,38.05,22.75,43.09,-57.66,3.53,2018
GAMES WORKSHOP GROUP PLC,Leisure Goods,Toys,987.87,3090.0,212.84,nan,4.24,2018
GAMING REALMS PLC,Travel &amp; Leisure,Gambling,12.06,4.3,-1.5,-8.25,nan,2017
GAMMA COMMUNICATIONS PLC,Mobile Telecommunications,Mobile Telecommunications,686.03,770.0,95.19,nan,1.27,2017
GAN PLC,Software &amp; Computer Services,Software,39.12,47.5,2.44,nan,nan,2017
GATELEY (HOLDINGS) PLC,Support Services,Business Support Services,140.79,128.0,12.71,2.86,nan,2018
GATTACA PLC,Support Services,Business Training &amp; Employment Agencies,34.23,106.5,95.08,86.93,1.59,2018
PJSC GAZPROM,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,41162.84,4.54,nan,20.62,3.12,2017
GB GROUP PLC,Software &amp; Computer Services,Computer Services,647.49,437.0,-2.37,-8.56,0.66,2018
GBGI LIMITED,Life Insurance,Life Insurance,104.36,120.0,33.12,nan,nan,2017
GCM RESOURCES PLC,Mining,Coal,25.04,23.5,-2.26,2.14,nan,2017
GCP ASSET BACKED INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,397.06,103.75,nan,nan,nan,2016
GCP INFRASTRUCTURE INVESTMENTS LIMITED,Equity Investment Instruments,Equity Investment Instruments,1115.21,127.6,110.57,2.54,6.01,2017
GCP STUDENT LIVING PLC,Real Estate Investment Trusts,Residential REITs,609.3,147.4,149.12,nan,4.05,2018
GEAR4MUSIC (HOLDINGS) PLC,Leisure Goods,Recreational Products,108.92,510.0,30.69,26.42,nan,2018
GEM DIAMONDS LIMITED,Mining,Diamonds &amp; Gemstones,154.15,112.25,67.33,-2.27,nan,2016
GENEDRIVE PLC,Health Care Equipment &amp; Services,Medical Equipment,7.14,21.0,2.16,nan,nan,2017
GENESIS EMERGING MARKETS FUND LD,Equity Investment Instruments,Equity Investment Instruments,772.53,628.0,815.3,nan,nan,2018
GENUS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,1395.88,2210.0,383.31,26.04,0.61,2018
GEORGIA CAPITAL PLC,Financial Services,Specialty Finance,389.34,1010.0,nan,nan,nan,nan
GEORGIA HEALTHCARE GROUP PLC,Health Care Equipment &amp; Services,Health Care Providers,268.63,195.0,nan,nan,nan,2017
GEORGIAN MINING CORPORATION,Mining,Gold Mining,6.99,6.1,-0.95,nan,nan,2017
GETBUSY PLC,Software &amp; Computer Services,Software,16.46,34.0,nan,nan,nan,2017
GETECH GROUP PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,11.64,32.0,14.9,-14.44,nan,2017
GFINITY PLC,Media,Broadcasting &amp; Entertainment,25.48,7.02,3.76,nan,-166.88,2017
GLAXOSMITHKLINE PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,73981.35,1507.0,nan,-19494.12,6.11,2017
GLENCORE PLC,Mining,General Mining,40788.1,269.05,235.33,63.93,3.87,2017
GLI FINANCE LIMITED,Financial Services,Specialty Finance,25.28,8.1,16.1,nan,6.17,2017
GLOBAL PETROLEUM LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,3.14,1.4,2.58,nan,nan,2018
GLOBAL RESOURCES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1.36,3.25,19.66,nan,nan,2017
GLOBALDATA PLC,Media,Publishing,693.92,587.5,-65.03,51.2,1.38,2017
GLOBALTRANS INVESTMENT PLC,Industrial Transportation,Railroads,1271.51,8.78,nan,25.32,16.53,2017
GO-AHEAD GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,658.96,1512.0,457.39,-53.25,6.43,2018
GOALS SOCCER CENTRES PLC,Travel &amp; Leisure,Recreational Services,54.15,72.0,115.12,26.17,nan,2016
GOCOMPARE.COM GROUP PLC,Media,Media Agencies,286.18,69.1,nan,-93.34,nan,2016
GOLDPLAT PLC,Mining,Gold Mining,6.2,3.6,6.28,-1.94,nan,2018
GOLDSTONE RESOURCES LIMITED,Mining,General Mining,4.31,2.17,0.49,nan,nan,2017
GOOCH &amp; HOUSEGO PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,297.42,1167.5,169.08,9.83,nan,2018
GOOD ENERGY GROUP PLC,Electricity,Alternative Electricity,15.49,98.5,88.04,310.85,1.81,2017
GORDON DADDS GROUP PLC,Support Services,Business Support Services,52.2,189.0,-9.6,-34.68,nan,2018
GREAT PORTLAND ESTATES PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,1835.22,661.0,843.86,1.54,6.52,2018
GRAFENIA PLC,Support Services,Business Support Services,7.49,9.75,-1.73,72.6,0.0,2018
GRAFTON GROUP PLC,Support Services,Industrial Suppliers,1528.83,659.5,12.35,5.31,1.96,2017
GRAINGER PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,1284.18,207.0,194.31,104.45,nan,2018
GRC INTERNATIONAL GROUP PLC,Software &amp; Computer Services,Computer Services,67.23,117.0,nan,nan,nan,nan
GREAT WESTERN MINING CORPORATION PLC,Mining,General Mining,1.8,0.27,0.42,nan,nan,2017
GREATLAND GOLD PLC,Mining,Gold Mining,58.38,1.77,0.04,nan,nan,2017
GREENCOAT RENEWABLES PLC,Equity Investment Instruments,Equity Investment Instruments,357.28,1.04,nan,nan,nan,2017
GREENCOAT UK WIND PLC,Equity Investment Instruments,Equity Investment Instruments,1425.63,127.6,111.23,nan,5.28,2017
GREENCORE GROUP PLC,Food Producers,Food Products,1259.84,183.35,-52.72,nan,2.79,2017
GREENE KING PLC,Travel &amp; Leisure,Restaurants &amp; Bars,1636.8,535.8,271.77,98.8,6.1,2018
GREGGS PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,1280.63,1307.0,281.37,nan,nan,2017
GRESHAM HOUSE STRATEGIC PLC,Equity Investment Instruments,Equity Investment Instruments,30.84,867.5,1186.34,nan,2.08,2018
GRESHAM HOUSE PLC,Equity Investment Instruments,Equity Investment Instruments,114.17,455.0,175.82,nan,nan,2017
GRESHAM TECHNOLOGIES PLC,Software &amp; Computer Services,Software,46.3,68.0,3.53,-33.73,nan,2016
GRIFFIN MINING LIMITED,Mining,General Mining,148.56,84.5,87.01,-11.55,nan,2017
GULF MARINE SERVICES PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,36.4,10.3,93.99,88.62,nan,2017
GUNSYND PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,1.07,0.02,0.05,nan,nan,2018
GVC HOLDINGS PLC,Travel &amp; Leisure,Gambling,3921.81,676.5,-73.92,-0.66,22.62,2017
GYG PLC,Industrial Transportation,Transportation Services,17.49,39.5,nan,39.07,nan,2017
THE GYM GROUP PLC,Travel &amp; Leisure,Recreational Services,376.63,255.5,45.91,nan,0.55,2017
H&amp;T GROUP PLC,Financial Services,Consumer Finance,99.61,267.5,217.7,nan,nan,2017
HADRIAN'S WALL SECURED INVESTMENTS LIMITED,Equity Investment Instruments,Equity Investment Instruments,139.0,95.75,nan,nan,nan,2018
HALFORDS GROUP PLC,General Retailers,Specialty Retailers,507.75,260.4,14.06,20.81,5.52,2018
HALMA PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,5178.36,1313.0,-10.11,26.6,1.25,2018
HAMMERSON PLC,Real Estate Investment Trusts,Retail REITs,2524.36,325.8,758.41,54.55,4.7,2017
HANSA TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,81.6,1020.0,1346.25,nan,1.6,2018
HANSARD GLOBAL PLC,Life Insurance,Life Insurance,63.3,47.55,20.72,nan,11.72,2018
HANSTEEN HOLDINGS PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,382.6,89.4,123.84,79.48,5.2,2016
HARBOURVEST GLOBAL PRIVATE EQUITY LIMITED,Equity Investment Instruments,Equity Investment Instruments,1076.55,1364.0,1676.58,nan,nan,2018
HARDIDE PLC,Chemicals,Specialty Chemicals,22.92,1.35,0.19,nan,nan,2017
HARDY OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,2.21,3.0,12.14,nan,nan,2017
HARGREAVES LANSDOWN PLC,Financial Services,Asset Managers,8770.15,1816.5,81.08,nan,2.03,2018
HARGREAVES SERVICES PLC,Support Services,Business Support Services,90.58,274.0,403.19,22.62,2.04,2018
HARVEST MINERALS LIMITED,Mining,General Mining,18.12,11.12,9.59,nan,nan,2018
HARWOOD WEALTH MANAGEMENT GROUP PLC,Financial Services,Asset Managers,90.69,145.0,nan,nan,6.98,2017
HARWORTH GROUP PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,366.51,117.0,127.41,7.89,0.76,2017
HASTINGS GROUP HOLDINGS PLC,Nonlife Insurance,Property &amp; Casualty Insurance,1229.24,187.5,-2.07,nan,nan,2017
HAYDALE GRAPHENE INDUSTRIES PLC,Chemicals,Specialty Chemicals,8.68,31.75,23.67,-9.22,nan,2017
HAYNES PUBLISHING GROUP PLC,Media,Publishing,10.54,169.5,-54.64,-10.14,3.23,2018
HAYS PLC,Support Services,Business Training &amp; Employment Agencies,2040.01,136.5,31.25,nan,4.72,2018
HEADLAM GROUP PLC,Household Goods &amp; Home Construction,Furnishings,346.88,408.0,205.8,-16.14,4.45,2017
HELICAL PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,380.77,317.0,450.12,nan,2.94,2018
HELIOS UNDERWRITING PLC,Nonlife Insurance,Property &amp; Casualty Insurance,20.17,145.0,60.5,nan,1.09,2017
HENDERSON EUROPEAN FOCUS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,230.03,1082.5,1370.62,nan,2.12,2017
HENDERSON EUROTRUST PLC,Equity Investment Instruments,Equity Investment Instruments,208.25,980.0,1246.68,nan,2.66,2018
HENDERSON FAR EAST INCOME LIMITED,Equity Investment Instruments,Equity Investment Instruments,427.73,330.0,359.26,nan,0.6,2018
HENDERSON HIGH INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,205.11,157.5,nan,nan,4.95,2017
HENDERSON OPPORTUNITES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,73.09,918.0,1269.85,nan,1.88,2017
HENDERSON SMALLER COMPANIES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,573.71,774.0,1046.92,nan,2.17,2018
HENDERSON ALTERNATIVE STRATEGIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,103.08,266.5,335.44,nan,1.63,2017
HENDERSON DIVERSIFIED INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,152.07,78.5,89.71,15.07,nan,2016
HENDERSON INTERNATIONAL INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,274.81,152.0,115.58,nan,24.57,2017
HERALD INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,740.69,1060.0,1374.88,nan,nan,2017
HERENCIA RESOURCES PLC,Mining,General Mining,2.78,0.03,0.03,19.5,nan,2017
HG CAPITAL TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,666.25,1780.0,nan,nan,2.65,2017
HICL INFRASTRUCTURE COMPANY LD,Equity Investment Instruments,Equity Investment Instruments,2823.01,158.2,149.6,nan,5.78,2018
HIGHBRIDGE MULTI-STRATEGY FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,218.23,207.0,234.23,nan,nan,2017
HIGHCROFT INVESTMENTS PLC,Real Estate Investment Trusts,Diversified REITs,45.73,885.0,1160.72,nan,5.21,2017
HIGHLAND GOLD MINING LD,Mining,Gold Mining,461.16,151.2,172.34,25.58,4.54,2017
HIKMA PHARMACEUTICALS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,4143.37,1679.5,236.63,36.26,2.28,2017
HILL &amp; SMITH HOLDINGS PLC,Industrial Engineering,Industrial Machinery,947.4,1159.0,120.33,38.28,2.24,2017
HILTON FOOD GROUP PLC,Food Producers,Food Products,736.01,942.0,104.97,-11.05,2.2,2017
HISCOX LTD,Nonlife Insurance,Property &amp; Casualty Insurance,4664.75,1541.0,592.86,nan,2.7,2016
HML HOLDINGS PLC,Real Estate Investment &amp; Services,Real Estate Services,13.94,30.5,-9.53,10.4,1.38,2018
HOCHSCHILD MINING PLC,Mining,Platinum &amp; Precious Metals,794.13,173.0,108.91,14.06,0.94,2017
HOLDERS TECHNOLOGY PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,1.56,37.5,86.88,nan,156.25,2017
HOLLYWOOD BOWL GROUP PLC,Travel &amp; Leisure,Recreational Services,349.5,224.0,nan,8.5,14.57,2017
HOMESERVE PLC,Support Services,Business Support Services,2872.82,862.0,-66.83,43.16,2.59,2018
HORIZON DISCOVERY GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,263.08,167.0,29.9,nan,nan,2017
HORIZONTE MINERALS PLC,Mining,General Mining,27.07,1.85,0.36,nan,nan,2017
HORNBY PLC,Leisure Goods,Toys,40.58,32.4,18.31,nan,nan,2018
HOSTELWORLD GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,192.58,200.0,7.23,nan,0.11,2017
HOTEL CHOCOLAT GROUP PLC,Food Producers,Food Products,299.02,280.0,25.55,-0.04,nan,2018
HOWDEN JOINERY GROUP PLC,Support Services,Industrial Suppliers,2651.49,441.0,70.69,nan,2.37,2017
HSBC HOLDINGS PLC,Banks,Banks,129601.13,641.4,651.7,nan,4.99,2017
HSS HIRE GROUP PLC,Support Services,Business Support Services,56.42,34.25,-14.2,308.66,-0.71,2017
HUMMINGBIRD RESOURCES PLC,Mining,General Mining,75.82,22.25,17.49,20.23,nan,2017
HUNTERS PROPERTY PLC,Real Estate Investment &amp; Services,Real Estate Services,12.09,38.0,-11.25,31.06,4.84,2017
HUNTING PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,792.35,471.6,351.65,-2.78,nan,2017
HUNTSWORTH PLC,Media,Media Agencies,377.52,105.0,-7.22,22.89,2.46,2017
HURRICANE ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,865.34,47.5,22.17,nan,nan,2017
HUTCHISON CHINA MEDITECH LIMITED,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,2331.82,3500.0,538.48,nan,nan,2017
HYDRODEC GROUP PLC,Alternative Energy,Alternative Fuels,19.22,68.75,0.42,191.99,nan,2017
HYDROGEN GROUP PLC,Support Services,Business Training &amp; Employment Agencies,20.04,61.5,21.69,1.81,nan,2017
I3 ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,16.2,39.0,nan,643.75,nan,2017
IBSTOCK PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,807.62,202.6,75.0,27.81,3.46,2017
ICG ENTERPRISE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,556.3,792.0,959.14,nan,2.57,2018
ICG-LONGBOW SENIOR SECURED UK PROPERTY DEBT INVESTMENTS LIMITED,Equity Investment Instruments,Equity Investment Instruments,120.09,98.9,100.8,nan,5.85,2018
IDE GROUP HOLDINGS PLC,Software &amp; Computer Services,Computer Services,8.22,2.05,-5.01,21.44,nan,2017
IDEAGEN PLC,Software &amp; Computer Services,Software,269.66,123.0,-4.84,-1.55,0.22,2018
IDOX PLC,Software &amp; Computer Services,Software,114.45,28.25,-7.62,35.12,1.67,2017
IG DESIGN GROUP PLC,Household Goods &amp; Home Construction,Nondurable Household Products,450.07,576.0,94.39,-4.5,1.51,2018
IG GROUP HOLDINGS PLC,Financial Services,Investment Services,2102.41,582.5,187.75,nan,5.0,2018
IGAS ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,117.68,94.2,50.6,3.04,nan,2017
ILIKA PLC,Alternative Energy,Alternative Fuels,16.62,16.25,7.96,nan,nan,2017
IMAGE SCAN HOLDINGS PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,4.02,2.35,1.34,nan,nan,2017
IMAGINATIK PLC,Software &amp; Computer Services,Software,1.48,1.6,nan,nan,nan,2018
IMI PLC,Industrial Engineering,Industrial Machinery,2568.63,899.0,36.18,43.66,2.96,2017
IMIMOBILE PLC,Software &amp; Computer Services,Software,157.12,213.0,0.6,-8.0,nan,2018
IMMEDIA GROUP PLC,Media,Broadcasting &amp; Entertainment,3.78,26.0,-1.31,-26.61,nan,2017
IMMOTION GROUP PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,16.8,8.5,8426.23,1772.51,85.83,2017
IMMUNODIAGNOSTIC SYSTEMS HOLDINGS PLC,Health Care Equipment &amp; Services,Medical Equipment,52.53,182.5,156.07,-47.92,0.77,2018
IMMUPHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,16.39,11.47,4.04,-69.09,nan,2017
IMPERIAL BRANDS PLC,Tobacco,Tobacco,22670.33,2413.5,-1399.44,194.45,7.03,2018
IMPAX ASSET MANAGEMENT GROUP PLC,Financial Services,Investment Services,269.31,205.0,26.57,nan,2.02,2017
IMPAX ENVIRONMENTAL MARKETS PLC,Equity Investment Instruments,Equity Investment Instruments,456.13,248.5,nan,nan,0.98,2017
IMPELLAM GROUP PLC,Support Services,Business Training &amp; Employment Agencies,287.27,577.5,-63.42,29.17,3.68,2017
INCHCAPE PLC,General Retailers,Specialty Retailers,2289.43,549.5,191.49,-2.13,3.42,2017
INDEPENDENT INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,273.0,512.0,610.15,nan,1.22,2017
INDEPENDENT OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,24.74,14.62,nan,nan,nan,2017
INDIA CAPITAL GROWTH FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,98.44,87.6,127.05,nan,nan,2017
INDIGOVISION GROUP PLC,Software &amp; Computer Services,Computer Services,8.64,115.0,172.39,-15.09,nan,2017
INDIVIOR PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,818.4,112.4,nan,187.68,nan,2017
INFORMA PLC,Media,Media Agencies,7887.75,605.8,-253.66,61.87,2.82,2017
INFRASTRATA PLC,"Gas, Water &amp; Multiutilities",Gas Distribution,11.35,1.36,0.12,nan,nan,2017
INGENTA PLC,Software &amp; Computer Services,Software,14.97,88.5,6.16,-33.27,nan,2017
INLAND HOMES PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,107.83,53.4,64.1,nan,2.82,2017
INMARSAT PLC,Mobile Telecommunications,Mobile Telecommunications,1754.71,389.8,79.52,192.92,7.4,2017
INSPIRATION HEALTHCARE GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,19.78,64.5,10.29,nan,nan,2018
INSPIRED ENERGY PLC,Support Services,Business Support Services,112.09,15.7,-1.44,58.74,2.86,2017
